TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2015-02-12,01:00,01:59,0.35,kWh,$0.05,
Electric usage,2015-02-12,02:00,02:59,0.33,kWh,$0.04,
Electric usage,2015-02-12,03:00,03:59,0.32,kWh,$0.04,
Electric usage,2015-02-12,04:00,04:59,0.54,kWh,$0.07,
Electric usage,2015-02-12,05:00,05:59,0.4,kWh,$0.05,
Electric usage,2015-02-12,06:00,06:59,2.67,kWh,$0.36,
Electric usage,2015-02-12,07:00,07:59,3.52,kWh,$0.47,
Electric usage,2015-02-12,08:00,08:59,0.51,kWh,$0.07,
Electric usage,2015-02-12,09:00,09:59,0.08,kWh,$0.01,
Electric usage,2015-02-12,10:00,10:59,0.09,kWh,$0.01,
Electric usage,2015-02-12,11:00,11:59,0.46,kWh,$0.06,
Electric usage,2015-02-12,12:00,12:59,0.07,kWh,$0.01,
Electric usage,2015-02-12,13:00,13:59,0.07,kWh,$0.01,
Electric usage,2015-02-12,14:00,14:59,0.08,kWh,$0.01,
Electric usage,2015-02-12,15:00,15:59,0.44,kWh,$0.06,
Electric usage,2015-02-12,16:00,16:59,0.12,kWh,$0.02,
Electric usage,2015-02-12,17:00,17:59,0.19,kWh,$0.03,
Electric usage,2015-02-12,18:00,18:59,0.22,kWh,$0.03,
Electric usage,2015-02-12,19:00,19:59,0.89,kWh,$0.12,
Electric usage,2015-02-12,20:00,20:59,1.44,kWh,$0.19,
Electric usage,2015-02-12,21:00,21:59,0.85,kWh,$0.11,
Electric usage,2015-02-12,22:00,22:59,0.47,kWh,$0.06,
Electric usage,2015-02-12,23:00,23:59,0.8,kWh,$0.11,
Electric usage,2015-02-13,00:00,00:59,0.45,kWh,$0.06,
Electric usage,2015-02-13,01:00,01:59,0.48,kWh,$0.06,
Electric usage,2015-02-13,02:00,02:59,0.45,kWh,$0.06,
Electric usage,2015-02-13,03:00,03:59,0.45,kWh,$0.06,
Electric usage,2015-02-13,04:00,04:59,0.85,kWh,$0.11,
Electric usage,2015-02-13,05:00,05:59,0.45,kWh,$0.06,
Electric usage,2015-02-13,06:00,06:59,4.05,kWh,$0.54,
Electric usage,2015-02-13,07:00,07:59,1.78,kWh,$0.24,
Electric usage,2015-02-13,08:00,08:59,0.88,kWh,$0.12,
Electric usage,2015-02-13,09:00,09:59,0.48,kWh,$0.06,
Electric usage,2015-02-13,10:00,10:59,0.44,kWh,$0.06,
Electric usage,2015-02-13,11:00,11:59,0.8,kWh,$0.11,
Electric usage,2015-02-13,12:00,12:59,0.45,kWh,$0.06,
Electric usage,2015-02-13,13:00,13:59,0.44,kWh,$0.06,
Electric usage,2015-02-13,14:00,14:59,0.43,kWh,$0.06,
Electric usage,2015-02-13,15:00,15:59,0.77,kWh,$0.1,
Electric usage,2015-02-13,16:00,16:59,0.39,kWh,$0.05,
Electric usage,2015-02-13,17:00,17:59,0.41,kWh,$0.06,
Electric usage,2015-02-13,18:00,18:59,0.39,kWh,$0.05,
Electric usage,2015-02-13,19:00,19:59,0.62,kWh,$0.08,
Electric usage,2015-02-13,20:00,20:59,0.71,kWh,$0.1,
Electric usage,2015-02-13,21:00,21:59,1.23,kWh,$0.16,
Electric usage,2015-02-13,22:00,22:59,2.05,kWh,$0.27,
Electric usage,2015-02-13,23:00,23:59,0.37,kWh,$0.05,
Electric usage,2015-02-14,00:00,00:59,0.41,kWh,$0.05,
Electric usage,2015-02-14,01:00,01:59,0.74,kWh,$0.1,
Electric usage,2015-02-14,02:00,02:59,0.41,kWh,$0.05,
Electric usage,2015-02-14,03:00,03:59,0.41,kWh,$0.05,
Electric usage,2015-02-14,04:00,04:59,0.38,kWh,$0.05,
Electric usage,2015-02-14,05:00,05:59,0.75,kWh,$0.1,
Electric usage,2015-02-14,06:00,06:59,0.4,kWh,$0.05,
Electric usage,2015-02-14,07:00,07:59,0.42,kWh,$0.06,
Electric usage,2015-02-14,08:00,08:59,0.44,kWh,$0.06,
Electric usage,2015-02-14,09:00,09:59,0.45,kWh,$0.06,
Electric usage,2015-02-14,10:00,10:59,0.82,kWh,$0.11,
Electric usage,2015-02-14,11:00,11:59,1.67,kWh,$0.22,
Electric usage,2015-02-14,12:00,12:59,1.69,kWh,$0.23,
Electric usage,2015-02-14,13:00,13:59,0.98,kWh,$0.13,
Electric usage,2015-02-14,14:00,14:59,3.22,kWh,$0.43,
Electric usage,2015-02-14,15:00,15:59,3.14,kWh,$0.42,
Electric usage,2015-02-14,16:00,16:59,1.27,kWh,$0.17,
Electric usage,2015-02-14,17:00,17:59,3.38,kWh,$0.45,
Electric usage,2015-02-14,18:00,18:59,4.62,kWh,$0.62,
Electric usage,2015-02-14,19:00,19:59,1.25,kWh,$0.17,
Electric usage,2015-02-14,20:00,20:59,1.44,kWh,$0.19,
Electric usage,2015-02-14,21:00,21:59,0.64,kWh,$0.09,
Electric usage,2015-02-14,22:00,22:59,0.48,kWh,$0.06,
Electric usage,2015-02-14,23:00,23:59,0.82,kWh,$0.11,
Electric usage,2015-02-15,00:00,00:59,0.48,kWh,$0.06,
Electric usage,2015-02-15,01:00,01:59,0.49,kWh,$0.07,
Electric usage,2015-02-15,02:00,02:59,0.46,kWh,$0.06,
Electric usage,2015-02-15,03:00,03:59,0.81,kWh,$0.11,
Electric usage,2015-02-15,04:00,04:59,0.49,kWh,$0.07,
Electric usage,2015-02-15,05:00,05:59,0.48,kWh,$0.06,
Electric usage,2015-02-15,06:00,06:59,0.48,kWh,$0.06,
Electric usage,2015-02-15,07:00,07:59,0.5,kWh,$0.07,
Electric usage,2015-02-15,08:00,08:59,2.22,kWh,$0.3,
Electric usage,2015-02-15,09:00,09:59,1.12,kWh,$0.15,
Electric usage,2015-02-15,10:00,10:59,1.82,kWh,$0.24,
Electric usage,2015-02-15,11:00,11:59,2.78,kWh,$0.37,
Electric usage,2015-02-15,12:00,12:59,3.16,kWh,$0.42,
Electric usage,2015-02-15,13:00,13:59,4.65,kWh,$0.62,
Electric usage,2015-02-15,14:00,14:59,1.82,kWh,$0.24,
Electric usage,2015-02-15,15:00,15:59,1.82,kWh,$0.24,
Electric usage,2015-02-15,16:00,16:59,1.27,kWh,$0.17,
Electric usage,2015-02-15,17:00,17:59,7.56,kWh,$1.01,
Electric usage,2015-02-15,18:00,18:59,2.79,kWh,$0.37,
Electric usage,2015-02-15,19:00,19:59,1.75,kWh,$0.23,
Electric usage,2015-02-15,20:00,20:59,4.01,kWh,$0.54,
Electric usage,2015-02-15,21:00,21:59,0.96,kWh,$0.13,
Electric usage,2015-02-15,22:00,22:59,1.21,kWh,$0.16,
Electric usage,2015-02-15,23:00,23:59,1.19,kWh,$0.16,
